,sample,index
0,undistorted_GX010191_100_1250.jpg,0
1,undistorted_GX010191_103_1289.jpg,1
2,undistorted_GX010191_107_1330.jpg,1
3,undistorted_GX010191_108_1337.jpg,1
4,undistorted_GX010191_116_1399.jpg,2
5,undistorted_GX010191_13_439.jpg,2
6,undistorted_GX010191_14_460.jpg,1
7,undistorted_GX010191_14_460.jpg,2
8,undistorted_GX010191_17_509.jpg,2
9,undistorted_GX010191_26_199.jpg,2
10,undistorted_GX010191_26_199.jpg,5
11,undistorted_GX010191_28_230.jpg,3
12,undistorted_GX010191_28_230.jpg,6
13,undistorted_GX010191_29_257.jpg,3
14,undistorted_GX010191_32_1049.jpg,3
15,undistorted_GX010191_32_305.jpg,4
16,undistorted_GX010191_33_1087.jpg,2
17,undistorted_GX010191_33_331.jpg,1
18,undistorted_GX010191_34_350.jpg,0
19,undistorted_GX010191_34_350.jpg,1
20,undistorted_GX010191_35_367.jpg,1
21,undistorted_GX010191_37_1242.jpg,1
22,undistorted_GX010191_42_457.jpg,2
23,undistorted_GX010191_43_468.jpg,3
24,undistorted_GX010191_45_489.jpg,4
25,undistorted_GX010191_47_507.jpg,2
26,undistorted_GX010191_91_1066.jpg,4
27,undistorted_GX010191_91_1066.jpg,5
28,undistorted_GX010191_92_1087.jpg,2
29,undistorted_GX010191_95_1157.jpg,2
30,undistorted_GX010191_99_1233.jpg,0
31,undistorted_GX010191_9_346.jpg,0
32,undistorted_GX010191_9_346.jpg,1
33,undistorted_GX010193_10_1039.jpg,2
34,undistorted_GX010193_20_1365.jpg,0
35,undistorted_GX010194_43_570.jpg,0
36,undistorted_GX010194_57_798.jpg,1
