image_name,manual_size,start_carapace_x,start_carapace_y,eyes_x,eyes_y,rostrum_x,rostrum_y,tail_x,tail_y,start_carapace_x_mm,start_carapace_y_mm,eyes_x_mm,eyes_y_mm,rostrum_x_mm,rostrum_y_mm,tail_x_mm,tail_y_mm,tail_rostrum_distance_mm
undistorted_GX010191_100_1250.jpg,big,0.787944,0.26995,0.821034,0.306675,0.84668,0.345609,0.704783,0.202187,4185.558528,806.6106000000001,4361.332608000001,916.3448999999999,4497.56416,1032.679692,3743.8072960000004,604.134756,867.0641107774891
undistorted_GX010191_100_1250.jpg,big,0.537236,0.473996,0.545478,0.409881,0.55203,0.354434,0.522648,0.596314,2853.7976320000002,1416.3000479999998,2897.5791360000003,1224.724428,2932.3833600000003,1059.048792,2776.306176,1781.786232,739.3980623068493
undistorted_GX010191_101_1265.jpg,big,0.728523,0.208439,0.769462,0.209964,0.80286,0.211005,0.645741,0.197715,3869.914176,622.815732,4087.3821439999997,627.372432,4264.7923200000005,630.48294,3430.176192,590.77242,835.5602949616406
undistorted_GX010191_101_1265.jpg,big,0.533248,0.545892,0.523724,0.483254,0.516141,0.433913,,,2832.6133760000002,1631.1252960000002,2782.0218879999998,1443.962952,2741.740992,1296.532044,,,
undistorted_GX010191_105_1312.jpg,big,0.523473,0.313115,0.544764,0.252077,0.56329,0.201721,0.469561,0.462459,2780.688576,935.5876199999999,2893.786368,753.2060759999999,2992.1964799999996,602.742348,2494.308032,1381.8274920000001,924.5899460049029
undistorted_GX010191_105_1312.jpg,big,0.610453,0.738066,0.576995,0.725029,0.543796,0.711583,0.675244,0.770757,3242.726336,2205.341208,3064.99744,2166.386652,2888.644352,2126.210004,3586.896128,2303.021916,720.2902157549067
undistorted_GX010191_106_1320.jpg,big,0.504086,0.394128,0.509859,0.327943,0.512976,0.273078,0.486744,0.537318,2677.7048320000004,1177.654464,2708.3710079999996,979.893684,2724.928512,815.957064,2585.584128,1605.5061839999998,801.7510026467779
undistorted_GX010191_106_1320.jpg,big,0.637878,0.758575,0.628193,0.757995,0.620711,0.753738,0.65726,0.749765,3388.4079359999996,2266.6221,3336.961216,2264.88906,3297.216832,2252.169144,3491.36512,2240.2978200000002,194.51088932716303
undistorted_GX010191_10_370.jpg,big,0.613129,0.659153,0.626594,0.602526,0.640697,0.557746,0.584186,0.781487,3256.941248,1969.549164,3328.4673279999997,1800.347688,3403.382464,1666.545048,3103.196032,2335.083156,732.8404299744321
undistorted_GX010191_10_370.jpg,big,0.858142,0.511855,0.88729,0.546879,0.911023,0.58709,0.792188,0.443877,4558.450304,1529.4227399999997,4713.28448,1634.074452,4839.354176,1754.22492,4208.102656,1326.304476,762.6233591331093
undistorted_GX010191_110_1355.jpg,big,0.576801,0.626903,0.545786,0.584036,0.518733,0.542244,0.643896,0.723382,3063.966912,1873.186164,2899.215232,1745.099568,2755.509696,1620.225072,3420.375552,2161.465416,857.3142460310869
undistorted_GX010191_110_1355.jpg,small,0.828509,0.591027,0.823271,0.600718,0.819948,0.613251,0.84468,0.578766,4401.039808,1765.988676,4373.215552,1794.9453839999999,4355.563776,1832.393988,4486.94016,1729.352808,166.96478385787788
