time,latitude,longitude,elevation,speed_m_s,speed_kmh
2024-04-07 06:56:29.504000+00:00,31.2518907,34.7995715,303.96,,
2024-04-07 06:56:29.599000+00:00,31.2518907,34.7995715,303.96,0.0,0.0
2024-04-07 06:56:29.700000+00:00,31.2518907,34.7995714,303.956,0.09430921010985605,0.3395131563954818
2024-04-07 06:56:29.799000+00:00,31.2518906,34.7995713,303.997,0.1476476161968878,0.531531418308796
2024-04-07 06:56:29.900000+00:00,31.2518905,34.7995714,304.003,0.14472390108901378,0.5210060439204497
2024-04-07 06:56:30+00:00,31.2518906,34.7995712,304.034,0.2204200601917386,0.793512216690259
2024-04-07 06:56:30.099000+00:00,31.2518906,34.7995713,304.076,0.09621443994269238,0.3463719837936926
2024-04-07 06:56:30.200000+00:00,31.2518907,34.7995714,304.071,0.14472390102467217,0.5210060436888199
2024-04-07 06:56:30.299000+00:00,31.2518905,34.7995716,304.103,0.29529523245941697,1.063062836853901
2024-04-07 06:56:30.400000+00:00,31.2518902,34.7995718,304.131,0.37951802033719534,1.3662648732139033
2024-04-07 06:56:30.500000+00:00,31.2518898,34.7995725,304.117,0.8007902615971881,2.882844941749877
2024-04-07 06:56:30.599000+00:00,31.2518898,34.7995735,304.077,0.9621444690675938,3.4637200886433375
2024-04-07 06:56:30.700000+00:00,31.25189,34.7995746,304.034,1.0603794568278875,3.817366044580395
2024-04-07 06:56:30.799000+00:00,31.2518892,34.799575,303.984,0.975111169624838,3.5104002106494168
2024-04-07 06:56:30.900000+00:00,31.2518887,34.7995751,303.924,0.5569234403080551,2.0049243851089984
2024-04-07 06:56:31+00:00,31.2518889,34.7995754,303.921,0.36170293638409956,1.3021305709827584
2024-04-07 06:56:31.099000+00:00,31.2518885,34.7995743,303.846,1.149262881025317,4.137346371691141
2024-04-07 06:56:31.200000+00:00,31.2518876,34.7995736,303.824,1.1882467313099265,4.277688232715736
